Date,Confirmed,Total Confirmed,Confirmed Deaths,Total Deaths,Male,Female,Unknown,Month
2020/04/22 00:00:00+00,631,16671,49,769,6909.0,8906.0,56.0,April
2020/04/23 00:00:00+00,936,17607,28,794,9272.0,7105.0,62.0,April
2020/04/24 00:00:00+00,577,18184,37,1014,7457.0,9893.0,70.0,April
2020/04/25 00:00:00+00,377,18561,42,1063,7656.0,10261.0,58.0,April
2020/04/26 00:00:00+00,701,19262,26,1087,7797.0,10570.0,64.0,April
2020/04/27 00:00:00+00,386,19648,18,1102,8051.0,10963.0,81.0,April
2020/04/28 00:00:00+00,229,19877,59,1159,8152.0,11179.0,52.0,April
2020/04/29 00:00:00+00,376,20253,31,1190,8287.0,11379.0,57.0,April
2020/04/30 00:00:00+00,359,20612,43,1232,8427.0,11625.0,59.0,April
2020/05/01 00:00:00+00,221,20833,34,1265,8605.0,11841.0,64.0,May
2020/05/02 00:00:00+00,343,21176,25,1286,8695.0,11979.0,68.0,May
2020/05/03 00:00:00+00,330,21506,19,1303,8841.0,12166.0,57.0,May
2020/05/04 00:00:00+00,266,21772,16,1319,9045.0,12334.0,58.0,May
2020/05/05 00:00:00+00,211,21983,23,1339,9151.0,12446.0,62.0,May
2020/05/06 00:00:00+00,265,22248,37,1375,9283.0,12562.0,63.0,May
2020/05/07 00:00:00+00,137,22385,29,1403,9428.0,12696.0,62.0,May
2020/05/08 00:00:00+00,156,22541,27,1429,9472.0,12765.0,64.0,May
2020/05/09 00:00:00+00,219,22760,18,1446,9552.0,12879.0,64.0,May
2020/05/10 00:00:00+00,236,22996,12,1458,9627.0,12980.0,64.0,May
2020/05/11 00:00:00+00,139,23135,15,1467,9698.0,13129.0,67.0,May
2020/05/12 00:00:00+00,107,23242,24,1488,9776.0,13249.0,64.0,May
2020/05/13 00:00:00+00,159,23401,10,1497,9802.0,13282.0,60.0,May
2020/05/14 00:00:00+00,426,23827,10,1506,9853.0,13338.0,68.0,May
2020/05/15 00:00:00+00,129,23956,16,1518,10019.0,13559.0,49.0,May
2020/05/16 00:00:00+00,92,24048,15,1533,10189.0,13681.0,49.0,May
2020/05/17 00:00:00+00,64,24112,10,1543,10195.0,13709.0,49.0,May
2020/05/18 00:00:00+00,88,24200,4,1547,10229.0,13768.0,39.0,May
2020/05/19 00:00:00+00,51,24251,16,1561,10296.0,13841.0,39.0,May
2020/05/20 00:00:00+00,64,24315,11,1571,10307.0,13859.0,38.0,May
2020/05/21 00:00:00+00,76,24391,12,1583,10337.0,13899.0,38.0,May
2020/05/22 00:00:00+00,115,24506,11,1592,10375.0,13936.0,40.0,May
2020/05/23 00:00:00+00,76,24582,13,1604,10418.0,13996.0,37.0,May
2020/05/24 00:00:00+00,57,24639,4,1608,10468.0,14064.0,37.0,May
2020/05/25 00:00:00+00,59,24698,0,1606,10484.0,14070.0,39.0,May
2020/05/26 00:00:00+00,37,24735,9,1615,10510.0,14081.0,38.0,May
2020/05/27 00:00:00+00,73,24803,17,1631,10548.0,14145.0,37.0,May
2020/05/28 00:00:00+00,46,24841,9,1639,10575.0,14186.0,34.0,May
2020/05/29 00:00:00+00,39,24876,6,1645,10589.0,14214.0,34.0,May
2020/05/30 00:00:00+00,59,24929,9,1651,10601.0,14235.0,34.0,May
2020/05/31 00:00:00+00,66,24990,2,1652,10621.0,14269.0,34.0,May
2020/06/01 00:00:00+00,77,25062,1,1650,10661.0,14289.0,35.0,June
2020/06/02 00:00:00+00,10,25066,8,1658,10693.0,14332.0,31.0,June
2020/06/03 00:00:00+00,47,25111,3,1659,10697.0,14336.0,31.0,June
2020/06/04 00:00:00+00,38,25142,5,1664,10715.0,14358.0,31.0,June
2020/06/05 00:00:00+00,28,25163,7,1670,10734.0,14370.0,31.0,June
2020/06/06 00:00:00+00,24,25183,9,1678,10743.0,14384.0,32.0,June
2020/06/07 00:00:00+00,25,25201,1,1679,10751.0,14393.0,32.0,June
2020/06/08 00:00:00+00,9,25207,4,1683,10759.0,14406.0,33.0,June
2020/06/09 00:00:00+00,9,25215,9,1691,10766.0,14408.0,32.0,June
2020/06/10 00:00:00+00,19,25231,5,1695,10771.0,14409.0,32.0,June
2020/06/11 00:00:00+00,8,25238,8,1703,10777.0,14421.0,32.0,June
2020/06/12 00:00:00+00,13,25250,3,1705,10780.0,14425.0,32.0,June
2020/06/13 00:00:00+00,46,25295,5,1705,10784.0,14434.0,31.0,June
2020/06/14 00:00:00+00,8,25303,1,1706,10804.0,14460.0,31.0,June
2020/06/15 00:00:00+00,18,25321,0,1706,10808.0,14465.0,30.0,June
2020/06/16 00:00:00+00,14,25334,3,1709,10815.0,14475.0,30.0,June
2020/06/17 00:00:00+00,8,25341,3,1710,10820.0,14483.0,30.0,June
2020/06/18 00:00:00+00,16,25355,4,1714,10822.0,14487.0,30.0,June
2020/06/19 00:00:00+00,13,25368,2,1714,10831.0,14494.0,30.0,June
2020/06/20 00:00:00+00,22,25374,2,1715,10835.0,14487.0,30.0,June
2020/06/21 00:00:00+00,6,25379,0,1715,10845.0,14498.0,30.0,June
2020/06/22 00:00:00+00,4,25383,2,1717,10847.0,14502.0,30.0,June
2020/06/23 00:00:00+00,10,25391,3,1720,10849.0,14502.0,30.0,June
2020/06/24 00:00:00+00,5,25396,6,1726,10853.0,14508.0,30.0,June
2020/06/25 00:00:00+00,11,25405,1,1727,10855.0,14509.0,30.0,June
2020/06/26 00:00:00+00,11,25414,3,1730,10858.0,14515.0,30.0,June
2020/06/27 00:00:00+00,23,25437,6,1734,10858.0,14515.0,30.0,June
2020/06/28 00:00:00+00,1,25438,1,1735,10858.0,14515.0,30.0,June
2020/06/29 00:00:00+00,24,25462,0,1735,10876.0,14532.0,30.0,June
2020/06/30 00:00:00+00,11,25473,1,1736,10882.0,14550.0,30.0,June
2020/07/01 00:00:00+00,6,25477,3,1738,10887.0,14554.0,30.0,July
2020/07/02 00:00:00+00,15,25489,5,1738,10887.0,14554.0,30.0,July
2020/07/03 00:00:00+00,9,25498,2,1740,10894.0,14565.0,30.0,July
2020/07/04 00:00:00+00,11,25509,1,1741,10901.0,12799.0,30.0,July
2020/07/05 00:00:00+00,18,25527,0,1741,10909.0,14570.0,30.0,July
2020/07/06 00:00:00+00,4,25531,0,1741,10919.0,14578.0,30.0,July
2020/07/07 00:00:00+00,24,25538,1,1742,10912.0,14572.0,30.0,July
2020/07/08 00:00:00+00,11,25542,0,1738,10918.0,14583.0,30.0,July
2020/07/09 00:00:00+00,23,25565,6,1743,10922.0,14591.0,30.0,July
2020/07/10 00:00:00+00,25,25589,1,1744,10930.0,14604.0,30.0,July
2020/07/11 00:00:00+00,23,25611,2,1746,10939.0,14619.0,30.0,July
2020/07/12 00:00:00+00,17,25628,0,1746,10947.0,14633.0,31.0,July
2020/07/13 00:00:00+00,11,25638,0,1746,10954.0,14643.0,30.0,July
2020/07/14 00:00:00+00,32,25670,0,1746,10958.0,14650.0,30.0,July
2020/07/15 00:00:00+00,14,25683,2,1748,10970.0,14672.0,27.0,July
2020/07/16 00:00:00+00,21,25698,1,1749,10976.0,14674.0,27.0,July
2020/07/17 00:00:00+00,34,25730,3,1752,10988.0,14681.0,27.0,July
2020/07/18 00:00:00+00,21,25750,2,1753,11006.0,14697.0,27.0,July
2020/07/19 00:00:00+00,10,25760,0,1753,11016.0,14708.0,27.0,July
2020/07/20 00:00:00+00,6,25766,0,1753,11019.0,14713.0,28.0,July
2020/07/21 00:00:00+00,36,25802,0,1753,11022.0,14716.0,28.0,July
2020/07/22 00:00:00+00,17,25819,1,1754,11049.0,14725.0,28.0,July
2020/07/23 00:00:00+00,7,25826,9,1763,11056.0,14735.0,28.0,July
2020/07/24 00:00:00+00,20,25845,0,1763,11059.0,14738.0,28.0,July
2020/07/25 00:00:00+00,24,25869,1,1764,11067.0,14738.0,21.0,July
2020/07/26 00:00:00+00,12,25881,0,1764,11079.0,14761.0,28.0,July
2020/07/27 00:00:00+00,11,25892,0,1764,11084.0,14769.0,28.0,July
2020/07/28 00:00:00+00,40,25929,0,1764,11092.0,14770.0,28.0,July
2020/07/29 00:00:00+00,14,25942,0,1764,11112.0,14788.0,28.0,July
2020/07/30 00:00:00+00,85,26027,1,1763,11115.0,14799.0,28.0,July
2020/07/31 00:00:00+00,38,26065,0,1763,11168.0,14831.0,28.0,July
2020/08/01 00:00:00+00,45,26109,0,1763,11189.0,14847.0,28.0,August
2020/08/02 00:00:00+00,53,26162,0,1763,11212.0,14869.0,28.0,August
2020/08/03 00:00:00+00,46,26208,0,1763,11238.0,14896.0,28.0,August
2020/08/04 00:00:00+00,45,26253,0,1763,11266.0,14915.0,28.0,August
2020/08/05 00:00:00+00,50,26303,0,1763,11301.0,14926.0,28.0,August
2020/08/06 00:00:00+00,69,26372,5,1768,11330.0,14945.0,28.0,August
2020/08/07 00:00:00+00,98,26470,4,1772,11361.0,14982.0,29.0,August
2020/08/08 00:00:00+00,174,26644,1,1772,11418.0,15021.0,29.0,August
2020/08/09 00:00:00+00,68,26712,0,1772,11545.0,15070.0,29.0,August
2020/08/10 00:00:00+00,57,26768,0,1772,11582.0,15101.0,28.0,August
2020/08/11 00:00:00+00,35,26801,1,1773,11611.0,15128.0,28.0,August
2020/08/12 00:00:00+00,40,26838,1,1774,11623.0,15146.0,28.0,August
2020/08/13 00:00:00+00,92,26929,0,1774,11643.0,15165.0,29.0,August
2020/08/14 00:00:00+00,67,26995,0,1774,11686.0,15213.0,29.0,August
2020/08/15 00:00:00+00,200,27191,0,1774,11719.0,15244.0,28.0,August
2020/08/16 00:00:00+00,66,27257,0,1774,11823.0,15340.0,28.0,August
2020/08/17 00:00:00+00,56,27313,0,1774,11857.0,15370.0,30.0,August
2020/08/18 00:00:00+00,190,27499,1,1775,11884.0,15395.0,30.0,August
2020/08/19 00:00:00+00,54,27547,2,1775,11956.0,15508.0,29.0,August
2020/08/20 00:00:00+00,136,27676,1,1776,11979.0,15533.0,28.0,August
2020/08/21 00:00:00+00,79,27755,0,1776,12033.0,15614.0,28.0,August
2020/08/22 00:00:00+00,156,27908,2,1777,12072.0,15652.0,28.0,August
2020/08/23 00:00:00+00,61,27969,0,1777,12153.0,15727.0,28.0,August
